timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1240272000, 128625539.42361,1762935.6222222,224019.21319444,907235.80625
1240358400, 123131000.02639,1658578.8097222,226983.96388889,880657.25347222
1240444800, 120777568.2125,1606931.4965278,219825.27638889,853646.31527778
1240531200, 128456539.60833,1854796.8243056,222906.44444444,957835.70069444
1240617600, 117860612.90347,1714538.8131944,209904.20972222,919963.42013889
1240704000, 114497996.09583,1656640.2618056,197881.60763889,935744.57708333
1240790400, 117279235.60208,1685831.2326389,217042.00277778,942132.30277778
1240876800, 113844035.61667,1676608.1340278,220301.63541667,925788.94513889
1240963200, 155802179.50833,2650780.5569444,216196.01944444,1361754.5402778
1241049600, 130024645.46944,1961862.2118056,214617.98125,1064237.1034722
1241136000, 116737757.37569,1664063.38125,196989.10972222,919300.20486111
1241222400, 108290161.25417,1580462.6548611,196420.68333333,823024.02569445
1241308800, 110618655.11319,1549413.6215278,190670.12569444,786935.48541667
1241395200, 119641508.57778,1731895.65625,214252.90972222,923224.43541667
1241481600, 122310717.89514,1753695.7868056,215941.08402778,956699.96180556
1241568000, 117960024.10056,1825689.681391,219093.98214286,1030021.7415414
1241654400, 115525668.43472,1760600.0493056,216157.73680556,950165.71041667
1241740800, 118123738.65694,1835069.2069444,212265.95347222,989680.56527778
1241827200, 176068700.19444,2306997.1736111,223554.02847222,1023869.5104167
1241913600, 164509152.82431,2135030.5611111,212119.13472222,947444.57916667
1242000000, 131401988.67153,1948277.4152778,220860.72847222,984499.80763889
1242086400, 133140745.87014,1985533.2708333,218999.61666667,1080835.7722222
1242172800, 59865078.699792,836050.67060459,95341.020152884,468121.76302988
1242259200, 190073926.17292,2279239.9381944,235771.79930556,1053731.6791667
1242345600, 183130284.52639,2203660.35,233704.86319444,989718.90902778
1242432000, 204841974.66974,2189547.1517184,227559.00167645,862623.48700754
1242518400, 209715036.73958,2296563.8006944,224308.30416667,918202.61388889
1242604800, 155228198.17917,1963853.0986111,220140.26944444,945211.10069444
1242691200, 117081639.72556,1586016.8255556,212612.04,840957.97333333
1242777600, 127991928.77083,1722293.0555556,207321.40972222,918351.89583333
1242864000, 134478382.99167,1798288.51875,209240.675,943629.76736111
1242950400, 129148043.45694,1715820.9194444,207944.23125,918771.96875
1243036800, 128761075.77361,1711570.4826389,198827.19236111,913630.01875
1243123200, 125807521.55417,1684089.2604167,189464.91319444,909929.56527778
1243209600, 126888769.03333,1695356.1875,202978.49513889,955890.77708333
1243296000, 128854433.70903,1737268.45,208057.57083333,965514.37222222
1243382400, 130068369.37292,1838056.4131944,211753.79166667,1021221.4763889
1243468800, 132858150.54931,1844733.875,209192.18125,1033132.6611111
1243555200, 129274815.26597,1831556.0847222,203271.99097222,1023921.1201389
1243641600, 127182722.68542,1813886.2965278,196757.02152778,957456.21180556
1243728000, 125569065.81944,1743120.9868056,191748.72013889,942168.20902778
1243814400, 131988607.40625,1826375.1722222,208598.22777778,998990.42847222
1243900800, 129398290.05347,1839763.0354167,208922.69652778,1013372.8701389
1243987200, 119782669.37361,1761532.7256944,209047.58958333,959059.05972222
1244073600, 123217230.025,1787897.5798611,207181.21736111,989836.84791667
1244160000, 122309262.30139,1774073.1895833,205137.06458333,965716.14097222
1244246400, 124089661.38611,1842395.7,195979.80763889,972180.65416667
1244332800, 126982439.27917,1849733.3875,190247.35,990766.38888889
1244419200, 132946203.2492,1941445.2572115,216175.90865385,1014918.244391
1244505600, 2669.6153846154,8.8461538461538,1,1
1244592000, 3373.4920634921,68.730158730159,0.46031746031746,9.1111111111111
1244678400, 2371.1538461538,7.7692307692308,0.84615384615385,0.84615384615385
1244764800, ,,,
1244851200, ,,,
1244937600, ,,,
1245024000, ,,,
1245110400, 13200335.148718,290034.88205128,1855.2512820513,204622.61538462
1245196800, 11134627.253472,220897.31319444,5138.3208333333,167470.53611111
1245283200, 127454395.17986,1886543.5833333,210217.9375,988772.43819444
1245369600, 128322223.66181,1944525.3736111,208081.65694444,1029597.8444444
1245456000, 102061608.03681,1399790.8659722,139664.66111111,667383.07083333
1245542400, 74654.223611111,1414.8402777778,140.82013888889,750.77291666667
1245628800, 134139.02083333,2307.7076388889,268.07291666667,1265.8319444444
1245715200, 94644512.751389,1260459.5069444,142262.19236111,588658.49444445
1245801600, 133961955.78611,2084887.9569444,210654.95902778,1013716.6361111
1245888000, 125230773.12917,1962313.8534722,211552.97222222,1017862.8395833
